numInitialJobs,queueServiceTime,numTandems,numQueues,queueDelay,switchDelay,communication,numPartitions,cmdline,simulated_time,elapsed_seconds,events_simulated,ev-per-sec,seq-ev-per-sec,speedup
2,exponential(10s),120,10,1s,1s,mt-mem-msgptrpassing,3,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=true', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-3']",60518.63574767044,10.0422,10045204.0,1000299.1376391628,446067.58648270345,2.242483354432098
2,exponential(10s),120,10,1s,1s,mt-mem-msgptrpassing,4,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=true', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-4']",71410.84759351518,10.0011,11851676.0,1185037.2459029509,446067.58648270345,2.6566315998145305
2,exponential(10s),120,10,1s,1s,mt-mem-msgptrpassing,5,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=true', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-5']",76116.01106766087,10.098,12647775.0,1252502.9708853238,446067.58648270345,2.8078771218537986
2,exponential(10s),120,10,1s,1s,mt-mem-msgptrpassing,6,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=true', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-6']",88660.1638250572,10.002,14708295.0,1470535.3929214156,446067.58648270345,3.2966649841490705
2,exponential(10s),120,10,1s,1s,mt-mem-msgptrpassing,7,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=true', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-7']",79268.60408648277,10.0032,13165739.0,1316152.7311260398,446067.58648270345,2.950567965505098
2,exponential(10s),120,10,1s,1s,mt-mem-msgptrpassing,8,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=true', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-8']",80306.63661529632,10.121,13337312.0,1317785.9895267265,446067.58648270345,2.954229425001775
2,exponential(10s),120,10,1s,1s,mt-mem-msgptrpassing,9,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=true', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-9']",69011.012926974,10.0024,11461396.0,1145864.5924978005,446067.58648270345,2.568813846200036
2,exponential(10s),120,10,1s,1s,mt-mem-msgptrpassing,10,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=true', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-10']",67939.28011494451,10.0027,11275717.0,1127267.3378187888,446067.58648270345,2.527122283659809
2,exponential(10s),120,10,1s,1s,mt-mem-msgptrpassing,11,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=true', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-11']",64104.370023777876,10.0038,10653881.0,1064983.406305604,446067.58648270345,2.387493372255819
2,exponential(10s),120,10,1s,1s,mt-mem-msgptrpassing,12,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=true', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-12']",63074.05914957751,10.004,10462581.0,1045839.7640943623,446067.58648270345,2.344576911182753
